year,hectares,#fires,status
1988,18210.0,1372.0,total
1989,13099.0,1633.0,total
1990,13742.0,1750.0,total
1991,8081.0,1481.0,total
1992,12232.0,2117.0,total
1993,15393.0,2545.0,total
1994,30828.0,3239.0,total
1995,7676.0,1770.0,total
1996,14922.0,1645.0,total
1997,6317.0,1339.0,total
1998,6764.0,1932.0,total
1999,5804.0,2075.0,total
2000,26353.0,2353.0,total
2001,7394.0,2631.0,total
2002,8514.0,1471.0,total
2003,6644.0,2177.0,total
2004,4876.2,1762.0,total
2005,2821.0,1530.0,total
2006,7761.6,2227.0,total
2007,11664.4,2829.0,total
2008,29749.0,2135.0,total
2009,4679.0,1793.0,total
2010,3317.0,1861.0,total
2011,3612.0,1954.0,total
2012,10454.0,2450.0,total
2013,11456.0,3755.0,total
2014,3117.0,2149.0,total
2015,3219.0,2150.0,total
2016,9156.0,3188.0,total
2017,11993.0,2411.0,total
2018,5644.0,2167.0,total
2019,11332.0,2688.0,total
2020,20971.0,3399.0,total
1997,923.0,193.0,intentional
1998,1655.0,249.0,intentional
1999,1926.0,279.0,intentional
2000,4417.0,410.0,intentional
2001,651.0,251.0,intentional
2002,509.0,218.0,intentional
2003,665.0,258.0,intentional
2004,748.4,242.0,intentional
2005,401.7,272.0,intentional
2006,206.2,166.0,intentional
2007,1705.1,292.0,intentional
2008,797.0,377.0,intentional
2009,792.0,231.0,intentional
2010,526.0,146.0,intentional
2011,283.0,153.0,intentional
2012,1615.0,197.0,intentional
2013,1478.48,260.0,intentional
2014,85.0,127.0,intentional
2015,167.0,138.0,intentional
2016,240.0,157.0,intentional
2017,619.0,151.0,intentional
2018,148.0,92.0,intentional
2019,686.0,124.0,intentional
2020,718.0,72.0,intentional
1997,3389.0,696.0,negligence_accident
1998,3713.0,1163.0,negligence_accident
1999,2808.0,1151.0,negligence_accident
2000,19017.0,1384.0,negligence_accident
2001,4247.0,1629.0,negligence_accident
2002,7287.0,809.0,negligence_accident
2003,4520.0,1317.0,negligence_accident
2004,3093.0,1033.0,negligence_accident
2005,2084.0,867.0,negligence_accident
2006,5873.0,1315.0,negligence_accident
2007,7994.0,1642.0,negligence_accident
2008,26283.0,1018.0,negligence_accident
2009,3082.0,884.0,negligence_accident
2010,1851.0,861.0,negligence_accident
2011,2368.0,1067.0,negligence_accident
2012,5780.0,936.0,negligence_accident
2013,4051.0,1419.0,negligence_accident
2014,1682.0,801.0,negligence_accident
2015,1198.0,794.0,negligence_accident
2016,5222.0,990.0,negligence_accident
2017,7146.0,721.0,negligence_accident
2018,2216.0,693.0,negligence_accident
2019,6529.0,883.0,negligence_accident
2020,8285.0,1156.0,negligence_accident
1997,37.0,78.0,natural
1998,20.0,53.0,natural
1999,126.0,203.0,natural
2000,167.0,132.0,natural
2001,735.0,188.0,natural
2002,261.0,181.0,natural
2003,694.0,120.0,natural
2004,232.5,128.0,natural
2005,47.5,140.0,natural
2006,543.0,330.0,natural
2007,243.2,407.0,natural
2008,699.0,330.0,natural
2009,105.0,333.0,natural
2010,69.0,281.0,natural
2011,39.0,130.0,natural
2012,334.0,373.0,natural
2013,138.0,258.0,natural
2014,77.0,328.0,natural
2015,95.0,257.0,natural
2016,170.0,310.0,natural
2017,84.0,259.0,natural
2018,141.0,413.0,natural
2019,373.0,372.0,natural
2020,197.0,312.0,natural
1997,1968.0,372.0,unknown
1998,1376.0,467.0,unknown
1999,944.0,442.0,unknown
2000,2752.0,427.0,unknown
2001,1761.0,563.0,unknown
2002,457.0,263.0,unknown
2003,765.0,482.0,unknown
2004,802.3,359.0,unknown
2005,287.8,251.0,unknown
2006,1139.4,416.0,unknown
2007,1722.1,488.0,unknown
2008,1970.0,410.0,unknown
2009,700.0,345.0,unknown
2010,871.0,573.0,unknown
2011,922.0,604.0,unknown
2012,2725.0,944.0,unknown
2013,5789.0,1818.0,unknown
2014,1273.0,893.0,unknown
2015,1759.0,961.0,unknown
2016,3524.0,1731.0,unknown
2017,4144.0,1280.0,unknown
2018,3139.0,969.0,unknown
2019,3744.0,1309.0,unknown
2020,11771.0,1859.0,unknown
